10:21; temperature; -11
10:21; pressure; 735
10:21; wind_speed; 14
10:21; temperature; -12
10:21; pressure; 749
10:21; wind_speed; 16
10:21; temperature; -13
10:21; pressure; 731
10:21; wind_speed; 2
10:21; temperature; -6
10:21; pressure; 730
10:21; wind_speed; 29
10:21; temperature; -12
10:21; pressure; 739
10:21; wind_speed; 10
10:21; temperature; -20
10:21; pressure; 726
10:21; wind_speed; 18
10:27; temperature; -9
10:27; pressure; 738
10:27; wind_speed; 11
10:27; temperature; -19
10:27; pressure; 733
10:27; wind_speed; 0
10:29; temperature; -9
10:29; pressure; 735
10:29; wind_speed; 4
10:29; temperature; -12
10:29; pressure; 733
10:29; wind_speed; 14
